lineage,year,country
Asian SEA4_B1,2007,Philippines
Asian SEA4_B1,2007,Philippines
Asian SEA4_B1,2007,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1.1.1,2008,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1,2008,Philippines
Asian SEA4_A1,2008,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_C1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_A1,2009,Philippines
Asian SEA4_A1.1,2006,Philippines
Asian SEA4_A1.1,2006,Philippines
Asian SEA4_A1,2006,Philippines
Asian SEA4_B1.1,2006,Philippines
Asian SEA3_A1.1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2011,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_H1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_A1.1,2012,Lao
Asian SEA3_A1.1,1995,Thailand
Asian SEA1b,1989,Indonesia
Asian SEA1b,1989,Indonesia
B1.1,1999,Thailand
B1.1,1998,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
