lineage,year,country
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1998,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,1999,Thailand
B1.1,2000,Thailand
B1.1,2000,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,2001,Thailand
Asian SEA3_H1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_H1,2000,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
B1.1,1998,Thailand
B1.1,1998,Thailand
B1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,1999,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2002,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
B1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,1998,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2001,Thailand
Asian SEA3_A1.1,2000,Thailand
Asian SEA3_A1.1,1999,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
Asian SEA3_H1,2003,Thailand
Asian SEA3_H1,2003,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
B1.1,2002,Thailand
B1.1,2002,Thailand
B1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
Asian SEA3_H1,2003,Thailand
B1.1,2002,Thailand
B1.1,2003,Thailand
Asian SEA3_H1,2002,Thailand
Asian SEA3_A1.1,2003,Thailand
B1.1,2003,Thailand
B1.1,2003,Thailand
B1.1,2003,Thailand
B1.1,2003,Thailand
B1.1,2002,Thailand
B1.1,2003,Thailand
Asian SEA3_A1.1,2003,Thailand
Asian SEA3_A1.1,2003,Thailand
Asian SEA3_A1.1,2002,Thailand
Asian SEA3_A1.1,2001,Thailand
B1.1,2003,Thailand
Asian SEA3_A1,1999,Myanmar
Asian SEA3_A1,1999,Myanmar
Asian SEA3_A1,1999,Myanmar
Asian SEA3_A1.1,1999,Cambodia
Asian SEA3_A1.1.2,1998,Cambodia
Asian SEA3_A1.1.4,1998,Cambodia
Asian SEA3_A1.1,1997,Cambodia
Asian SEA3_D1,1999,Cambodia
Asian SEA3_F1,1998,Cambodia
Asian SEA1b,2003,Indonesia
Asian SEA3_A1.1,1999,Lao
Asian SEA3_A1.1,2002,Lao
Asian SEA3_A1.1,2002,Lao
Asian SEA4_A1.1.1,1994,Philippines
Asian SEA4_A1.1,1994,Philippines
Asian SEA4_A1.1.2,1994,Philippines
Asian SEA4_A1.2,2000,Philippines
Asian SEA4_A1.2,2001,Philippines
Asian SEA4_A1.1.1,2004,Philippines
Asian SEA3_A1.1,1983,Thailand
Asian SEA3_A1.1,1983,Thailand
B1.1,1983,Thailand
Asian SEA3_A1.1,2001,Vietnam
Asian SEA3_A1.1.3,2001,Vietnam
Asian SEA3_A1.1,2002,Lao
Asian SEA3_A1.1,1997,Cambodia
B1.1,1986,Thailand
B1.1,1983,Thailand
B1.1,1983,Thailand
B1.1,1983,Thailand
Asian SEA3_A1.1,2009,Thailand
Asian SEA3_A1.1,2009,Thailand
Asian SEA3_A1.1,1983,Thailand
Asian SEA3_A1.1,2012,Thailand
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
Asian SEA1b_A1.1.1,2009,Indonesia
A1,2008,Indonesia
A1,2009,Indonesia
A1,2009,Indonesia
Asian SEA1b_A1.1,2009,Indonesia
Asian SEA1b_A1.1,2009,Indonesia
Asian SEA1b_A1.1,2009,Indonesia
Asian SEA1b,2008,Indonesia
Asian SEA1b,2009,Indonesia
Asian SEA1b,2010,Indonesia
Asian SEA1b,2010,Indonesia
A1.1,2009,Indonesia
A1.1,2009,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
A1.1,2010,Indonesia
Asian SEA3_B1.1,2008,Cambodia
Asian SEA3_A1.1,2006,Cambodia
Asian SEA3_G1,2004,Cambodia
Asian SEA3_A1.1.6,2010,Cambodia
Asian SEA3_G1,2004,Cambodia
Asian SEA3_A1.1.6,2007,Cambodia
Asian SEA3_C1,2004,Cambodia
Asian SEA3_G1,2002,Cambodia
Asian SEA3_G1,2000,Cambodia
Asian SEA3_A1.1.6,2010,Cambodia
Asian SEA3_A1.1.6,2008,Cambodia
Asian SEA3_A1.1.3,1998,Cambodia
Asian SEA3_A1.1,2003,Cambodia
Asian SEA3_A1.1,2002,Cambodia
Asian SEA3_B1.1,2010,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_G1,2003,Cambodia
Asian SEA3_C1,2004,Cambodia
Asian SEA3_G1,2011,Cambodia
Asian SEA3_B1.1,2011,Cambodia
Asian SEA3_B1.1,2011,Cambodia
Asian SEA3_B1.1,2010,Cambodia
Asian SEA3_A1.1,2000,Cambodia
Asian SEA3_B1.1,2011,Cambodia
Asian SEA3_G1,2001,Cambodia
Asian SEA3_G1,2010,Cambodia
Asian SEA3_A1.1.6,2008,Cambodia
Asian SEA3_A1.1.6,2011,Cambodia
Asian SEA3_A1.1.3,2011,Cambodia
Asian SEA3_A1.1,2008,Cambodia
Asian SEA3_C1,2003,Cambodia
Asian SEA3_D1,2002,Cambodia
Asian SEA3_D1,1999,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_B1.1,2008,Cambodia
Asian SEA3_B1.1,2008,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_E1,1999,Cambodia
Asian SEA3_E1,2001,Cambodia
Asian SEA3_A1.1,1999,Cambodia
Asian SEA3_A1.1,2001,Cambodia
Asian SEA3_D1,2007,Cambodia
Asian SEA3_D1,2000,Cambodia
Asian SEA3_D1,2000,Cambodia
Asian SEA3_A1.1.1,2006,Cambodia
Asian SEA3_F1,2002,Cambodia
Asian SEA3_A1.1.2,2006,Cambodia
Asian SEA3_A1.1,2005,Cambodia
Asian SEA3_C1,2003,Cambodia
Asian SEA3_A1.1.1,1998,Cambodia
Asian SEA3_A1.1.4,1998,Cambodia
Asian SEA3_A1.1.6,2007,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_E1,2011,Cambodia
Asian SEA3_A1.1,2002,Cambodia
Asian SEA3_A1.1,2006,Cambodia
Asian SEA3_A1.1,2006,Cambodia
Asian SEA3_D1,2004,Cambodia
Asian SEA3_A1.1,2002,Cambodia
Asian SEA3_D1,2005,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_E1,2011,Cambodia
Asian SEA3_A1.1.1,2001,Cambodia
Asian SEA3_A1.1.1,2000,Cambodia
Asian SEA3_E1,2010,Cambodia
Asian SEA3_A1.1.3,2010,Cambodia
Asian SEA3_A1.1,2005,Cambodia
Asian SEA3_A1.1,1999,Cambodia
Asian SEA3_A1.1,2003,Cambodia
Asian SEA3_D1,2001,Cambodia
Asian SEA3_A1.1,2003,Cambodia
Asian SEA3_D1,2004,Cambodia
Asian SEA3_F1,2008,Cambodia
Asian SEA3_A1.1,2000,Cambodia
Asian SEA3_F1,2006,Cambodia
Asian SEA3_A1.1.1,2002,Cambodia
Asian SEA3_A1.1.1,2001,Cambodia
Asian SEA3_D1,2008,Cambodia
Asian SEA3_A1.1.1,2008,Cambodia
Asian SEA3_F1,2008,Cambodia
Asian SEA3_F1,2000,Cambodia
Asian SEA3_F1,2009,Cambodia
Asian SEA3_A1.1,2011,Cambodia
Asian SEA3_A1.1,1998,Cambodia
Asian SEA3_A1.1,2011,Cambodia
Asian SEA3_A1.1,1998,Cambodia
Asian SEA3_A1.1,2009,Cambodia
Asian SEA3_A1.1,2007,Cambodia
Asian SEA3_A1.1,2001,Cambodia
